neighborhood,rec_id,year,population
Barrio Viejo,HISPAI,2019,19
Barrio Viejo,HISPASN,2019,0
Barrio Viejo,HISPPI,2019,0
Barrio Viejo,HISPOTH,2019,131
Barrio Viejo,HISPMLT,2019,31
Barrio Viejo,HWHITE,2010,186
Barrio Viejo,HBLACK,2010,2
Barrio Viejo,HAMERIND,2010,16
Barrio Viejo,HASIAN,2010,0
Barrio Viejo,HPACIFIC,2010,0
Barrio Viejo,HOTHRACE,2010,104
Barrio Viejo,HRACE2UP,2010,27
Barrio Viejo,HRACEBAS,2010,335
Barrio Viejo,H1RACE,2010,307
Barrio Viejo,HADRBASE,2010,260
Barrio Viejo,HAD1RACE,2010,243
Barrio Viejo,U18RBASE,2010,112
Barrio Viejo,NONHISP,2019,414
Bear Canyon,WHITE,2019,2141
Bear Canyon,BLACK,2019,97
Bear Canyon,AMERIND,2019,20
Bear Canyon,ASIAN,2019,104
Bear Canyon,PACIFIC,2019,2
Bear Canyon,OTHRACE,2019,83
Bear Canyon,RACE2UP,2019,104
Bear Canyon,HISPPOP,2019,400
Bear Canyon,MINORITY,2019,698
Bear Canyon,WHITE,2010,2215
Bear Canyon,BLACK,2010,83
Bear Canyon,AMERIND,2010,17
Bear Canyon,ASIAN,2010,81
Bear Canyon,PACIFIC,2010,2
Bear Canyon,OTHRACE,2010,67
Bear Canyon,RACE2UP,2010,86
Bear Canyon,HISPPOP,2010,325
Bear Canyon,MINORITY,2010,572
Bear Canyon,DIVINDX,2010,41.2
Bear Canyon,HISPWHT,2019,288
Bear Canyon,HISPBLK,2019,6
Bear Canyon,HISPAI,2019,4
Bear Canyon,HISPASN,2019,2
Bear Canyon,HISPPI,2019,0
Bear Canyon,HISPOTH,2019,78
Bear Canyon,HISPMLT,2019,22
Bear Canyon,HWHITE,2010,235
Bear Canyon,HBLACK,2010,5
Bear Canyon,HAMERIND,2010,4
Bear Canyon,HASIAN,2010,2
Bear Canyon,HPACIFIC,2010,0
Bear Canyon,HOTHRACE,2010,61
Bear Canyon,HRACE2UP,2010,18
Bear Canyon,HRACEBAS,2010,325
Bear Canyon,H1RACE,2010,307
Bear Canyon,HADRBASE,2010,211
Bear Canyon,HAD1RACE,2010,203
Bear Canyon,U18RBASE,2010,563
Bear Canyon,NONHISP,2019,2151
Blenman-Elm,WHITE,2019,2521
